username,time,date,post,query
@Sarajaw18985559,17:03:53,2024-05-30,Wait a min what's wrong in taking money for tweeting do u seriously think celebrities  don't take money for using an app ? What kinda stupid logic is that ? If he has a following and people would love to see his tweet there is absolutely nothing wrong with earning from an app,celebrities
@whineandchill,17:03:52,2024-05-30,If Nicola Coughlan who has 4.5M followers can do this you can imagine what Taylor Swift with 283M followers can do. But she wont. Because she is a fucking loser. Joining the list of endless celebrities who all are fucking losers and cowards and spineless and ya LOSERS.,celebrities
@hstylesisjagger,17:03:44,2024-05-30,dont get celebrities off of shein ,celebrities
@BallerThrowdown,17:03:39,2024-05-30,"wannabe celebrity, was a nerd his whole life trying to play catch up",celebrities
@Lgrng0,17:03:32,2024-05-30,"Thats rubbish.

Just look at the demographics before Oct 7.

You just have cognitive dissonance & you don’t even give a single fuck about blood libels when you throw the phrase around like you’re doing.

It’s gross.",celebrities
@SuccessMalefa,17:03:32,2024-05-30,Celebrity wallpapers ,celebrities
@darla_littleton,17:03:30,2024-05-30,"As a fan of Tim McGraw, I hope he wasn't aware of the controversy and is not just another woke celebrity.",celebrities
@Me4Shiva,17:03:26,2024-05-30,Exactly! Shame on these celebrities who pick and choose the side that suits them.,celebrities
@0xBender,17:03:21,2024-05-30,@blknoiz06 you have been asking everyone to give you the answer to celebrity on boarding and despite most of the TL already doing so - here is a literal script of how celebrities can be successful here and not be pure value extractors. Keep it simple,celebrities
@whenwasitnot,17:03:18,2024-05-30,"The exorcist celebrity circuit is problematic for sure. Like I said, their bishop needs to get involved then 1000%",celebrities
@katseyeyecon,17:03:13,2024-05-30,"I do understand the celebrity influence, but with so many zionist around the world especially in USA and in Europe don't expect to see much, in italybthere are a lot of influencial artists thatbare speaking about it but its either people are dont care or they are silenced by the",celebrities
@RubyShaimae,17:03:13,2024-05-30,"Taylor Swift which it bigger than anyone and didn't move , there is smth with celebrities that we don't know about , especially for jennie whom just started her own company, you want her to risk her business and life ?",celebrities
@manlikeplumo,17:03:12,2024-05-30,"Always do your research even after your favourite celebrity endorses a product/service  . Don’t blindly put in your money,time,and effort without  a research and understand  the structure  behind the product/service, it’s the least you owe yourself.",celebrities
@Onesound28,17:03:11,2024-05-30,You is a lie to he on camera saying on the show you got multiple celebrities saying he said while they was on the show m.f it’s audio of him saying why would he rent to black people then they money was no good no because he is racist don’t want color money it stinks,celebrities
@LeagueTechSoFi,17:03:09,2024-05-30,"T-2 hours! 

Learn about why celebrities should utilize Social Fi to onboard their followers to crypto rather than tokens. 

Disagree? Come and tell us!",celebrities
@muzukihisa,17:03:05,2024-05-30,Why should I feel glad if a Caucasian celebrity (or others whose skin color’s not even yellow)’s connected to me because some people think our facial features resemble one another My self-esteem’s not THAT low At least it’s a skill if it’s their ability to speak English well.,celebrities
@TapsPolisetti,17:03:05,2024-05-30,Do celebrities like u respond to common people..,celebrities
@blackcelebbdays,17:03:00,2024-05-30,DID YOU KNOW THESE BLACK CELEBRITIES WERE BORN ON MAY 30th?,celebrities
@mikirichz,17:02:58,2024-05-30,"Fair, this is the kind of preview I was talking about  … not jus gaslighting a project wit bad reviews … tell me why ppl wont do a panic sale .. wit dat kind of review from our celebrity… most especially top crypto Boyz dat ppl look up to",celebrities
@Celebritygenie,17:02:55,2024-05-30,Yes that's very true.,celebrities
@khansmeme,17:02:55,2024-05-30,"then celebrities should have the best marriages. Live simply, walk humbly and love genuinely... All good will come back to you...!",celebrities
@MIMANYsuprema,17:02:54,2024-05-30,"Lets CLBRTYize ever celebrity qho has ever done black face. $clbrty @CLBRTY_on_SOL

Jimmy Kimmel
Howard stern
Sarah silverman
Justin trudou
Joy Behar
Barack Obama",celebrities
@circulartwizzle,17:02:50,2024-05-30,he genuinely pisses me off like idc what anyone says why are huge celebrities letting themselves be humiliated like this,celebrities
@Gate_Kreeper_,17:02:48,2024-05-30,"Nah. Stay far away from celebrity pump and dumps, regardless of what people are saying about them.",celebrities
@onlydaz,17:02:47,2024-05-30,Right . Look like that celebrity dress up game we used to have as kids,celebrities
@NWfourA,17:02:38,2024-05-30,Most boring race in the season. Just a celebrity show off opportunity. I won’t see it next year if significant changes are not made.,celebrities
@Celebritygenie,17:02:28,2024-05-30,Nice,celebrities
@drdote_,17:02:26,2024-05-30,real,celebrities
@Fyortween2,17:02:23,2024-05-30,"celebrity perspective: crypto use case 

Launch a token that he/she owns 25% of
Sell at launch",celebrities
@edavenport933,17:02:21,2024-05-30,"That tracks, conservatives are the ones who obsess over Lizzo and Taylor swift and keep electing celebrities to public office.",celebrities
@0fcounsel,17:02:20,2024-05-30,"Yes, same ones sol ppl should’ve learned in 2021 when it was a list celebrities like Tom Brady and Shaq. That it is now d-list celebrities and sol ppl have the memory of a goldfish is hilarious",celebrities
@Abhichandel5605,17:02:20,2024-05-30,"I'm kinda feeling positive about Plastic surgery. Tbh we are just jealous we can't afford it lol. Most of us use filter on photos, & many use makeup which is as NATURAL as Plastic surgery. For celebrities, their face is brand, source of income. There shouldn't be any stigma",celebrities
@bearaddresser,17:02:19,2024-05-30,i'll support celebrities when start shilling my undervalued $TLOS bags,celebrities
@NomDeGuerre7,17:02:14,2024-05-30,"I stop fuhkin' wit them [#Celebrity] people... #OfCourse (#RichAndPowerful/#Wealthy|#theMoneyGrab'bers) they go and still can find a way to be """"#Promoting"""" them people to me like as if it does me ANY good. 
""YAH' #BULLSHHT' AND FUHKERY AINT NO FUHKEN """"#ENTERTAINMENT"""" #toME—",celebrities
@0xBender,17:02:13,2024-05-30,I’ll support a celebrity token if it does something that is natively interesting and unique where they don’t hold X% of the supply from the launch to dump on people’s heads. They can put a 1% sell tax on the coin to get long term revenue and then use the coin to purchase other,celebrities
@Lgrng0,17:02:13,2024-05-30,"Blah blah blah

You’re doing free PR for a nation that’s run by far right fascists that threaten ICC judges & their families, threatens its own media outlets w “consequences”, arrests Palestinian Israelis over social media posts & tries them in secret courts w 99% conviction rate",celebrities
@sharoncrowstar,17:02:11,2024-05-30,Most of these were already on my do not watch list but I have added a few more that are included on this list. Losers! - 24 Celebrities Who Are 100% All In For Donald Trump In 2024 https://msn.com/en-us/news/politics/24-celebrities-who-are-100-all-in-for-donald-trump-in-2024/ar-BB1nhODG?ocid=socialshare&pc=HCTS&cvid=28bc1be43505420cb0aac0b15d14ac0f&ei=73…,celebrities
@LengEmgie101,17:02:07,2024-05-30,"as long as the US govt n those UN officials r the 1 backing up Israel or not doing political things to stop the bombing, what can celebrities or non govt people can do even they do speak?! cmon! pester those people in US/UN in the position!",celebrities
@ACDAM_Fund,17:02:05,2024-05-30,"Celebrity-promoted crypto projects have been a disaster, and it’s unfortunate that these are the projects that gather the most publicity and headlines. But not all crypto is tainted – many projects have real use cases and offer genuine utility.",celebrities
@IndyArts,17:02:01,2024-05-30,Kehlani calls out celebrities for ‘embarrassing’ silence on Gaza,celebrities
@BradGalli,17:01:53,2024-05-30,"Aidan Hutchinson is teeing it up in this year’s Rocket Mortgage Classic Area 313 Celebrity Scramble. 

The Lions star is joining Tom Izzo, Chris Webber, and Calvin Johnson at Detroit Golf Club on Tuesday, June 25.",celebrities
@TheSweetSavage_,17:01:50,2024-05-30,"Burn more momma  you’re the only celebrity that deserves our respect thus far. You’re showing up daily and learning as you go just as we have for years. Also, post the ticker on your other socials, make a video to onboard them.",celebrities
@armontague11,17:01:46,2024-05-30,"It's just a standard grift. If you're a washed up celebrity, all you have to do is claim to be canceled or mad at ""woke culture"" and certain people will lap it up mindlessly and give you a big infusion of cash and attention. A lot of these people don't really believe in anything.",celebrities
@fred249x,17:01:43,2024-05-30,Is Jenner really a celebrity.  More like washed up old bat,celebrities
@crushthemuffins,17:01:36,2024-05-30,"wanting a huge celebrity to use their platform for good and speak up for humanity isn't a bad thing! this is a genocide, her just posting just ONE donation link would cause a huge influx in donations and spreading info! we're not asking her to talk about it 24/7 https://x.com/LLane_13/statu/LLane_13/status/1795924434835955894…",celebrities
@jennmorson,17:01:34,2024-05-30,not at all - but this kind of celebrity circuit is in conflict with the intent.,celebrities
@flolikemyg,17:01:32,2024-05-30,acting like it’s the end of the world because ppl want big time celebrities w a huge following to use their voices for good is actually making my brain hurt. how is your mind so infected from stan twitter brain rot,celebrities
@KOD_Jnr,17:01:32,2024-05-30,"Naa
Dats not an option",celebrities
@M0TZS,17:01:31,2024-05-30,It’s wild how people are ok with being exit liquidity and dumped on by D list celebrities,celebrities
@GloBoyDav,17:01:29,2024-05-30,Any good celebrity crypto coins i should invest my life savings in?,celebrities
@poseidonn777,17:01:26,2024-05-30,You were pushing and promoting celebrities meme coins…,celebrities
@onrk1n,17:01:23,2024-05-30,they don’t even bother putting together a coherent sentence anymore. pick the next guy from the celebrity list & make him fake cry,celebrities
@sheneedstolivee,17:01:23,2024-05-30,"it is not a war, it’s a genocide, a humanitarian crisis. yes celebrities don’t have the power to end it and this is not what we’re asking, but they have the power to influence masses. they can educate people and raise hundreds of thousands more money using their platforms",celebrities
@OV1KENOBIE,17:01:20,2024-05-30,"I do not follow! any celebrity's ""WHY"".. SO MANY OF THEM ARE FULL OF ST!!.",celebrities
@Heavenhellorsin,17:01:14,2024-05-30,Can we please focus on the task at hand and donate ourselves instead of making this genocide about celebrities? Social media is such a weird place.,celebrities
@VXN_618,17:01:09,2024-05-30,"Doesn’t make much difference, celebrities ruined their legacy for pump fun tokens. I hope phantom wakes up",celebrities
@AcousticLSD,17:01:05,2024-05-30,"Y'know being a fan of a celebrity is fine, what I think is absolutely pathetic is people absolutely obsessing over a celebrity, thinking they can do absolutely NO WRONG and will harass others over talking about the shitty things they've done",celebrities
@pds_ol,17:01:04,2024-05-30,"Enjoy this podcast of our honored guest:

Women Road Warriors @WomRoadWarriors @pcast_ol @tpc_ol @wh2pod @bus_ol

A lively talk show hosted by Shelley Johnson & Kathy Tuccaro that features experts and celebrities with topics to empower & inspire women

http://womenroadwarriors.com",celebrities
@Riddiee,17:01:03,2024-05-30,I use to be a micro celebrity on twitter..,celebrities
@MimosaTxt,17:01:01,2024-05-30,I hope YJ didn't cover this song. Because Jb is one of the boycotted celebrities. And yj might get a bad reaction for this.,celebrities
@barkmeta,17:01:01,2024-05-30,No text found,celebrities
@TopCrypto_News,17:00:57,2024-05-30,"Millionaire Trader Shocking Downfall, Celebrity Jenner Tokens Gone Wrong!",celebrities
@triviafall,17:00:57,2024-05-30,"Centering your activism around celebrities, demanding them to do something while living in countries with governments that are involved in the whole thing, and then getting angry at korean artists for not speaking up. Powerless and useless and that's exactly why you act like that",celebrities
@JohnDoe78084921,17:00:56,2024-05-30,"So what meaning does this post have within the context of the broader discussion? Celebrities dumping on followers. Then you come along and say: ""its not intuitive that dumping on followers is poor form"". Ok, fine. Theyre not children. Who gives a fuck what is intuitive?",celebrities
@BoguesGroup,17:00:51,2024-05-30,"Join us on June 15, 2024, at 4:00 PM at West Rowan High School for the Chris Smith Memorial Event. Enjoy an alumni game, celebrity appearances, a bench dedication, raffles, and more as we honor the legacy of NFL standout Chris Smith. Get your tickets now: https://bit.ly/3QYmnpI",celebrities
@hockeynightin,17:00:49,2024-05-30,Of course you can. Just take your cues from politicians and celebrities.,celebrities
@desitharra007,17:00:48,2024-05-30,"But our starry eyed Bollywood celebrities, our so called intellectuals, leftists, media houses won't support the Genuine victims !
These victims cannot afford to Pay those Selective activists their Fees !
Only the powerful organisations with deep pocket ticks their conscience.",celebrities
@pabloo_u,17:00:46,2024-05-30,this is the best time to add to your conviction coins while everyone is buying celebrity pump and dumps,celebrities
@smg9779,17:00:39,2024-05-30,"I am shocked, SHOCKED, to my core. 

(Pssst, Trump was a celebrity before he ran for office)",celebrities
@CatAngeLeeKnow,17:00:38,2024-05-30,The celebrities that u should pressure are those who are in Hollywood since they work in a country that literary funds this genocide and as a counter their zi0nists co-actors and influencers .,celebrities
@Celebritygenie,17:00:32,2024-05-30,Pele.. it is well.,celebrities
@nsyncsdebut,17:00:29,2024-05-30,I’m not a creep guys just in love with my celebrity husband- I MEAN CRUSH.,celebrities
@LiberumPueri,17:00:27,2024-05-30,"Celebrities out here trying to turn shit into sugar and the simple hoard and hold guy is the problem?  Did I get that right?
#memecoinmalaise",celebrities
@hpcol2,17:00:26,2024-05-30,I’m going to @barkmeta’s upcoming Space. Will you join too?,celebrities
@Ape848,17:00:15,2024-05-30,"It was never gonna onboard the masses

A win would’ve been if even one of them were in this for the long haul 

One celebrity turning full crypto shitposting degen",celebrities
@expressceleb,17:00:14,2024-05-30,"Kelvin Fletcher and his wife Liz have issued an exciting announcement about their ITV series..

https://express.co.uk/showbiz/tv-radio/1905543/kelvin-fletcher-wife-announcement-fletchers-family…",celebrities
@qq6zqyrvvv,17:00:14,2024-05-30,I guess the tax payer is now paying for celebrities security needs. At least they know the need security!,celebrities
@OutdoorKOutlet,17:00:14,2024-05-30,"Did you know some of Hollywood's biggest stars are also BBQ Enthusiasts ? From Gwyneth Paltrow's healthy grill recipes to Dwayne ""The Rock"" Johnson's family favorites, celebrities are embracing the art of barbecue.
 
→→ https://zurl.co/PbXJ
.
.
.
#outdoorkitchen
#BBQFacts",celebrities
@RubiRit,17:00:11,2024-05-30,"Are male celebrities also expected to be this accountable to the public? For instance, I don’t see such posts for Kendrick, y’all’s current fave.",celebrities
@acultomancy,17:00:10,2024-05-30,I've actually never met a celebrity illuminati believer irl before,celebrities
@rhonda_harbison,17:00:06,2024-05-30,"https://wral.com/trump-used-racial-slur-during-celebrity-apprentice-ex-aide-says/17760206/…
Trump Used Racial Slur During 'Celebrity Apprentice,' Former White ...",celebrities
@ImagesByJonEvan,17:00:04,2024-05-30,How celebrity tequilas are changing the nature of tequila,celebrities
@harshlaxy,17:00:04,2024-05-30,ur celebrity crush,celebrities
@TessaBr21621710,17:00:02,2024-05-30,"This is true of all celebrities. If i was a famous I'd be a"" no comment"" anytime I was asked anything outside what I'm famous for. We put too much demand on the wrong thing bc plenty of celebrities have spoke out and nothing changes.",celebrities
@expressceleb,17:00:01,2024-05-30,"A Place In The Sun star Laura Hamilton has opened up about how she manages to juggle motherhood with the popular Channel 4 show.

https://express.co.uk/showbiz/tv-radio/1905222/A-Place-In-The-Sun-Laura-Hamilton-children-work-juggle…",celebrities
@expressceleb,17:00:00,2024-05-30,"BBC Breakfast's Naga Munchetty took a cheeky swipe at co-presenter Charlie Stayt on the latest edition of the show.

https://express.co.uk/showbiz/tv-radio/1905246/BBC-Breakfast-Naga-Muchetty-Charlie-Stayt-swipe…",celebrities
@TiniWider,17:00:00,2024-05-30,"#KidLitPit #YA #F #MR #P

Imagine a modern day Elsa (Frozen) must save her granny and their Encanto-like-home. To succeed, she needs to accept handsome, yet infuriating celebrity witch Henry as a mentor. And then, not only her unruly powers reciprocate but also her heart.",celebrities
@stevethompson99,17:00:00,2024-05-30,The juror could be looking at Donald Trump for the same reason thousands of chuckleheads show up to his insane rallies. Trump's a celebrity train-wreck and they want a glimpse of him.,celebrities
@16cartridges,16:59:58,2024-05-30,"genuinely,  respectfully, no person,  including a celebrity has to perform activism in a way that's palatable to you. if you don't wanna fuck with Beyonce (or whoever) because of her activism (or lack thereof) that is A -Ok!",celebrities
@5711rosy,16:59:55,2024-05-30,"Something will happen if fans use their power because yes celebrity are big ,but you gave them those power ,the power you use to give them fame ,use it too to come together and speak up
Fans are powerful than artist",celebrities
@biggestjiminer,16:59:54,2024-05-30,taeyong’s one word can probs make a change but can yall not praise him 4 smth as basic as human decency .. im as upset as yall r w hybe artists not speaking up 4 palestine but i dont think any celebrity should b praised 4 sumn as basic as having empathy,celebrities
@datfatguh,16:59:46,2024-05-30,I been saying this for a hot lil min everything is a quick fix with influencers/celebrities. Teeth messed up their solution is veneers. Braces take too long. Yo body ain’t developed enough or u too big? Boom go get a BBL. It’s sad.,celebrities
@UFOGuy567,16:59:44,2024-05-30,Ye exposing how black celebrities are controlled in the industry #slaver... https://youtube.com/shorts/mfkvKaDJuh8?si=vkbGhLQrwiS4ysVv… via @YouTube,celebrities
@rhonda_harbison,16:59:43,2024-05-30,"https://nytimes.com/2018/08/10/us/politics/omarosa-donald-trump-racial-slur.html…
Trump Used Racial Slur During 'Celebrity Apprentice,' Former White ...",celebrities
@NassrolFahmi,16:59:41,2024-05-30,And the so called Biggest Celebrity on Earth stay silence,celebrities
@setlhalokat,16:59:34,2024-05-30,I have observed that some behave like celebrities instead   and actually too distant from the masses.,celebrities
@DougieCUSA,16:59:30,2024-05-30,Celebrities wonder if endorsing Biden 'worth' the scrutiny in increasingly polarized world: Report,celebrities
@Web3_Traders,16:59:29,2024-05-30,"@davido  I'm losing my mind. Why $Davido is going lower than lower 

I lost my $Sol and $CWIF for these celebrities Memecoins ",celebrities
@D0LLIAN,16:59:25,2024-05-30,no. he's was a fake celebrity,celebrities
@mandknetworks,16:59:23,2024-05-30,"So, for every time he tells the truth. You wanna shock him? What in the hell is wrong with these celebrities lately?",celebrities
@KellyMo65075631,16:59:20,2024-05-30,"And she did not even say what nobody has said before a lot of influencers and celebrities has said and don worst 
Orishirishi",celebrities
@rchappell465128,16:59:19,2024-05-30,Check out Celebrity Artist Rob Chappell draws Elton John on Srixon novelty golf ball https://ebay.com/itm/285872645366?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=4rV-oDRCT1a&sssrc=2566055&ssuid=4rV-oDRCT1a&widget_ver=artemis&media=TW… #eBay via @eBay,celebrities
@notthreadguy,16:59:18,2024-05-30,"idek wtf going on 

come vibe
come speak
come co host
come give bad takes 

powered by @krakenfx",celebrities
@meeowkali,16:59:11,2024-05-30,omg celebrity in my notifs....,celebrities
@legen_eth,16:59:03,2024-05-30,"Can’t believe celebrity coins went to 0

Who could’ve predicted that ",celebrities
@Hphilosopher1,16:58:57,2024-05-30,"Whales

Blue Whale on Solana

Doxxed Team

Video game play to earn

Comic/Manga

Platinum artist on the team - Matt Hartke

Marine Biologist

NFT's coming this summer

Podcast coming in June - Celebrity show in the studio - Crypto show educating newbies

Billy to a Billi   the",celebrities
@INBrianJones,16:58:50,2024-05-30,"In his defense, i highly doubt he knows anything about this. Celebrities live in echo chambers",celebrities
@JoeHighTimesNFT,16:58:48,2024-05-30,"tell these celebrities too F off lol

we should be dumping on them not the other way around mfers",celebrities
@_mishLLC,16:58:47,2024-05-30,This is like when celebrities start a brand and its about them instead of the product,celebrities
